"job_id","source_job_id_key","apply_url_canonical","consecutive_misses","first_seen_at","last_seen_at","last_seen_run_id","listing_id","posted_at","posted_at_quality","posted_at_raw","source","source_job_id","source_url","status"
"6da15eb9-bb21-4390-bbc9-5cd1aa19b9c7","workday#td:/job/Toronto-Ontario/Software-Engineer-III_R_1459206","https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/Software-Engineer-III_R_1459206","0","2026-08-05T19:07:44.842092+00:00","2026-08-05T19:07:44.842092+00:00","lambda-2026-08-05T19:07:39.515080+00:00","87e99936-a5a7-4164-bdc9-9e70a23e2433","2026-07-28T19:07:44.842092+00:00","relative","Posted 8 Days Ago","workday","td:/job/Toronto-Ontario/Software-Engineer-III_R_1459206","https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/Software-Engineer-III_R_1459206","active"
"5f534c9f-574d-4997-ad5e-bf8151272459","indeed#9791ebe76d269460","http://ca.indeed.com/job/web-developer-9791ebe76d269460","0","2026-08-05T19:24:07.119087+00:00","2026-08-05T19:24:07.119087+00:00","lambda-2026-08-05T19:24:04.755697+00:00","0d28b198-2c4d-4abd-b43d-5cce085de7aa","2026-08-05T00:00:00","exact","2026-08-05","indeed","9791ebe76d269460","https://ca.indeed.com/viewjob?jk=9791ebe76d269460","active"
"a8156a3d-31b9-421d-8fb4-f7ab86085dd1","workday#rbc:/job/TORONTO-Ontario-Canada/Senior-Software-Engineer_R-0000180987-2","https://rbc.wd3.myworkdayjobs.com/RBCGLOBAL1/job/TORONTO-Ontario-Canada/Senior-Software-Engineer_R-0000180987-2","0","2026-08-05T19:08:05.385151+00:00","2026-08-05T19:08:05.385151+00:00","lambda-2026-08-05T19:07:39.515080+00:00","da414a8e-7af9-4f75-9b7a-62e165c15b7a","2026-07-30T19:08:05.385151+00:00","relative","Posted 6 Days Ago","workday","rbc:/job/TORONTO-Ontario-Canada/Senior-Software-Engineer_R-0000180987-2","https://rbc.wd3.myworkdayjobs.com/RBCGLOBAL1/job/TORONTO-Ontario-Canada/Senior-Software-Engineer_R-0000180987-2","active"
"a19e4a7a-626f-4be8-b994-dfdf5b752119","workday#cibc:/job/Chicago-IL/Senior-Software-Engineer---Mobile-Development_2614263","https://cibc.wd3.myworkdayjobs.com/search/job/Chicago-IL/Senior-Software-Engineer---Mobile-Development_2614263","0","2026-08-05T18:31:53.681924+00:00","2026-08-05T19:07:50.038957+00:00","lambda-2026-08-05T19:07:39.515080+00:00","6d693bea-f4b0-45d0-a029-f02fa2dc6350","","inferred","Posted Yesterday","workday","cibc:/job/Chicago-IL/Senior-Software-Engineer---Mobile-Development_2614263","https://cibc.wd3.myworkdayjobs.com/search/job/Chicago-IL/Senior-Software-Engineer---Mobile-Development_2614263","active"
"295011da-39f9-4e2d-810c-c95fd03ac487","workday#cibc:/job/Chicago-IL/Production-Support-Engineer-Manager_2613843","https://cibc.wd3.myworkdayjobs.com/search/job/Chicago-IL/Production-Support-Engineer-Manager_2613843","0","2026-08-05T19:07:51.654881+00:00","2026-08-05T19:07:51.654881+00:00","lambda-2026-08-05T19:07:39.515080+00:00","7673bc48-7322-494e-b4ed-355c694937bc","","inferred","Posted Yesterday","workday","cibc:/job/Chicago-IL/Production-Support-Engineer-Manager_2613843","https://cibc.wd3.myworkdayjobs.com/search/job/Chicago-IL/Production-Support-Engineer-Manager_2613843","active"
"3cd9450b-b027-455a-88cb-8d349ccb88cc","workday#rbc:/job/TORONTO-Ontario-Canada/Staff-Software-Engineer_R-0000177413-2","https://rbc.wd3.myworkdayjobs.com/RBCGLOBAL1/job/TORONTO-Ontario-Canada/Staff-Software-Engineer_R-0000177413-2","0","2026-08-05T19:08:04.725855+00:00","2026-08-05T19:08:04.725855+00:00","lambda-2026-08-05T19:07:39.515080+00:00","7ca444f0-9d43-435d-8f21-c4504d3c242c","2026-07-30T19:08:04.725855+00:00","relative","Posted 6 Days Ago","workday","rbc:/job/TORONTO-Ontario-Canada/Staff-Software-Engineer_R-0000177413-2","https://rbc.wd3.myworkdayjobs.com/RBCGLOBAL1/job/TORONTO-Ontario-Canada/Staff-Software-Engineer_R-0000177413-2","active"
"869e5b7e-0760-49f0-af8c-f6454eedfb74","linkedin#4449686516","https://www.linkedin.com/jobs/view/4449686516","0","2026-08-05T19:24:23.854838+00:00","2026-08-05T19:24:23.854838+00:00","lambda-2026-08-05T19:24:04.755697+00:00","1edbca89-bf36-45cf-bd15-1bec37575413","","unknown","","linkedin","4449686516","https://www.linkedin.com/jobs/view/4449686516","active"
"c14e14c3-a4bb-445c-b338-f66e4ccd6e67","workday#td:/job/Toronto-Ontario/Software-Engineer-II--Salesforce_R_1486443","https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/Software-Engineer-II--Salesforce_R_1486443","0","2026-08-05T19:07:45.578493+00:00","2026-08-05T19:07:45.578493+00:00","lambda-2026-08-05T19:07:39.515080+00:00","ef2dc88c-8670-41d9-83f4-bbcea20b03e6","2026-07-31T19:07:45.578493+00:00","relative","Posted 5 Days Ago","workday","td:/job/Toronto-Ontario/Software-Engineer-II--Salesforce_R_1486443","https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/Software-Engineer-II--Salesforce_R_1486443","active"
"262b8278-59a0-4c95-972b-333941e38e0f","workday#td:/job/Toronto-Ontario/Software-Engineer-I_R_1501250","https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/Software-Engineer-I_R_1501250","0","2026-08-05T18:31:51.335768+00:00","2026-08-05T19:07:42.732309+00:00","lambda-2026-08-05T19:07:39.515080+00:00","e278e11c-cf4e-44cd-bccf-640ee787284d","2026-07-24T19:07:42.732309+00:00","relative","Posted 12 Days Ago","workday","td:/job/Toronto-Ontario/Software-Engineer-I_R_1501250","https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/Software-Engineer-I_R_1501250","active"
"2dc01882-6dbf-4f67-915f-a7509970d369","workday#rbc:/job/TORONTO-Ontario-Canada/Machine-Learning-Software-Engineer_R-0000182038-1","https://rbc.wd3.myworkdayjobs.com/RBCGLOBAL1/job/TORONTO-Ontario-Canada/Machine-Learning-Software-Engineer_R-0000182038-1","0","2026-08-05T19:08:06.891725+00:00","2026-08-05T19:08:06.891725+00:00","lambda-2026-08-05T19:07:39.515080+00:00","8e85cf7c-04fe-4267-9afc-52b2460670d0","2026-07-27T19:08:06.891725+00:00","relative","Posted 9 Days Ago","workday","rbc:/job/TORONTO-Ontario-Canada/Machine-Learning-Software-Engineer_R-0000182038-1","https://rbc.wd3.myworkdayjobs.com/RBCGLOBAL1/job/TORONTO-Ontario-Canada/Machine-Learning-Software-Engineer_R-0000182038-1","active"
"e56afdbd-6484-4038-a14f-572ed465fa77","linkedin#4410410019","https://www.linkedin.com/jobs/view/4410410019","0","2026-08-05T18:21:16.701802+00:00","2026-08-05T18:21:16.701802+00:00","lambda-2026-08-05T18:20:59.911660+00:00","4002f538-53d3-493d-965c-3e15ad375182","","unknown","","linkedin","4410410019","https://www.linkedin.com/jobs/view/4410410019","active"
"08ea1aa4-3557-461c-aab4-7df434864c69","linkedin#4422883908","https://www.linkedin.com/jobs/view/4422883908","0","2026-08-05T18:20:46.668552+00:00","2026-08-05T19:20:50.819268+00:00","lambda-2026-08-05T19:20:36.238397+00:00","3d446484-b504-402b-9602-49292fa1088e","","unknown","","linkedin","4422883908","https://www.linkedin.com/jobs/view/4422883908","active"
"cf938f85-ede4-4e16-ba97-92420a7ee6f2","workday#cibc:/job/New-York-NY/CIBC-US-Capital-Markets_2612280","https://cibc.wd3.myworkdayjobs.com/search/job/New-York-NY/CIBC-US-Capital-Markets_2612280","0","2026-08-05T19:07:54.176538+00:00","2026-08-05T19:07:54.176538+00:00","lambda-2026-08-05T19:07:39.515080+00:00","2c21db4b-d5db-43d6-9245-5f1c8551d13d","","inferred","Posted Yesterday","workday","cibc:/job/New-York-NY/CIBC-US-Capital-Markets_2612280","https://cibc.wd3.myworkdayjobs.com/search/job/New-York-NY/CIBC-US-Capital-Markets_2612280","active"
"ad6ce94b-4d79-4d0c-8717-4fc7afed5b1a","workday#cibc:/job/Toronto-ON/Senior-Director--Model-Quantification_2615945","https://cibc.wd3.myworkdayjobs.com/search/job/Toronto-ON/Senior-Director--Model-Quantification_2615945","0","2026-08-05T19:07:55.553620+00:00","2026-08-05T19:07:55.553620+00:00","lambda-2026-08-05T19:07:39.515080+00:00","ff40431c-2aa2-4713-b3a8-110b594a6b90","2026-07-31T19:07:55.553620+00:00","relative","Posted 5 Days Ago","workday","cibc:/job/Toronto-ON/Senior-Director--Model-Quantification_2615945","https://cibc.wd3.myworkdayjobs.com/search/job/Toronto-ON/Senior-Director--Model-Quantification_2615945","active"
"cb4f0653-9aad-48d6-bfb2-6f19f3b1e57c","linkedin#4447358205","https://www.linkedin.com/jobs/view/4447358205","0","2026-08-05T18:20:46.813882+00:00","2026-08-05T19:24:23.582871+00:00","lambda-2026-08-05T19:24:04.755697+00:00","6a0b05b1-f0fa-41b4-959e-efd33593edcf","","unknown","","linkedin","4447358205","https://www.linkedin.com/jobs/view/4447358205","active"
"f200e7db-6740-43c7-b451-2557a175b15b","linkedin#4440387158","https://www.linkedin.com/jobs/view/4440387158","0","2026-08-05T18:20:46.482405+00:00","2026-08-05T18:20:46.482405+00:00","lambda-2026-08-05T18:20:31.590118+00:00","ce30b810-d7c2-4133-8510-4f51afae075b","2026-08-04T00:00:00","exact","2026-08-04","linkedin","4440387158","https://www.linkedin.com/jobs/view/4440387158","active"
"12776a42-5b0e-4db1-9404-7e3cdb8899be","linkedin#4449623962","https://www.linkedin.com/jobs/view/4449623962","0","2026-08-05T18:20:46.607219+00:00","2026-08-05T19:24:23.463067+00:00","lambda-2026-08-05T19:24:04.755697+00:00","62532013-0c53-4c89-ae5f-d042f110b9bf","","unknown","","linkedin","4449623962","https://www.linkedin.com/jobs/view/4449623962","active"
"e4058260-5948-4e68-a387-5f7ddb7b3bcd","workday#cibc:/job/Toronto-ON/Senior-Software-Engineer---Front-End-Development_2615868","https://cibc.wd3.myworkdayjobs.com/search/job/Toronto-ON/Senior-Software-Engineer---Front-End-Development_2615868","0","2026-08-05T18:31:55.014478+00:00","2026-08-05T19:07:51.122496+00:00","lambda-2026-08-05T19:07:39.515080+00:00","cf234a1a-5611-4b81-9c2c-2c6aaa2115c0","2026-07-31T19:07:51.122496+00:00","relative","Posted 5 Days Ago","workday","cibc:/job/Toronto-ON/Senior-Software-Engineer---Front-End-Development_2615868","https://cibc.wd3.myworkdayjobs.com/search/job/Toronto-ON/Senior-Software-Engineer---Front-End-Development_2615868","active"
"37a2a609-6ab6-416a-ba97-709601ca0795","indeed#68a602302f8aa863","https://jobs.ebayinc.com/us/en/job/R0075761","0","2026-08-05T18:20:37.821337+00:00","2026-08-05T19:20:42.551458+00:00","lambda-2026-08-05T19:20:36.238397+00:00","26cdb22d-480a-4420-9cf1-53b790f20c49","2026-08-05T00:00:00","exact","2026-08-05","indeed","68a602302f8aa863","https://ca.indeed.com/viewjob?jk=68a602302f8aa863","active"
"5672eca0-f850-4275-a546-409b603137b5","indeed#5d21f5345bb7917b","https://jobs.gem.com/quo/am9icG9zdDoMniwY4XCCWOfIVz1_IvpB","0","2026-08-05T18:20:37.701565+00:00","2026-08-05T19:24:07.254727+00:00","lambda-2026-08-05T19:24:04.755697+00:00","c97f4189-3a82-4ac1-99bc-e2df40a13e3a","2026-08-05T00:00:00","exact","2026-08-05","indeed","5d21f5345bb7917b","https://ca.indeed.com/viewjob?jk=5d21f5345bb7917b","active"
